"","IdVote","RegistrationNumber","BusinessTitle","Subject","IdSession","NrValid","Yes","Result_share_yes","Result","ja_svp","ja_fdp","ja_cvp","ja_sp","ja_gruene","valid_svp","valid_fdp","valid_cvp","valid_sp","valid_gruene","ja_share_svp","ja_share_fdp","ja_share_cvp","ja_share_sp","ja_share_gruene"
"11",10349,6609,"jugend + musik. Volksinitiative","Gesamtabstimmung",4901,163,119,0.730061349693252,"Ja",24,0,26,40,13,47,24,28,42,13,0.51063829787234,0,0.928571428571429,0.952380952380952,1
"12",10362,6622,"Erhalt des Viehexportes aus der Schweiz","Gesamtabstimmung",4901,155,84,0.541935483870968,"Ja",53,4,20,0,0,53,20,23,33,11,1,0.2,0.869565217391304,0,0
"13",10365,6625,"Erhalt des Viehexportes aus der Schweiz","Gesamtabstimmung",4901,156,84,0.538461538461538,"Ja",52,5,20,0,0,52,21,24,33,12,1,0.238095238095238,0.833333333333333,0,0
"14",10369,6629,"Verkehr mit Tieren und Pflanzen geschützter Arten. Bundesgesetz","Gesamtabstimmung",4901,185,185,1,"Ja",54,27,28,42,14,54,27,28,42,14,1,1,1,1,1
"15",10383,6643,"Tierseuchengesetz. Änderung","Gesamtabstimmung",4901,173,173,1,"Ja",49,25,23,43,15,49,25,23,43,15,1,1,1,1,1
"16",10387,6647,"Freihandelsabkommen zwischen den EFTA-Staaten und Hong Kong. Genehmigung","Gesamtabstimmung",4901,117,116,0.991452991452991,"Ja",47,28,24,0,0,47,28,26,38,15,1,1,0.923076923076923,0,0
"17",10412,6672,"Übereinkommen über die Bekämpfung des Menschenhandels und Bundesgesetz über den ausserprozessualen Zeugenschutz","Gesamtabstimmung",4901,165,160,0.96969696969697,"Ja",38,25,26,39,15,44,25,26,39,15,0.863636363636364,1,1,1,1
"18",10467,6727,"Via sicura. Mehr Sicherheit im Strassenverkehr","Gesamtabstimmung",4901,167,114,0.682634730538922,"Ja",0,18,27,38,13,49,24,27,38,13,0,0.75,1,1,1
"19",10469,6729,"Via sicura. Mehr Sicherheit im Strassenverkehr","Gesamtabstimmung",4901,164,0,0,"Nein",0,0,0,0,0,47,23,26,36,14,0,0,0,0,0
"20",10471,6731,"Richterverordnung. Überprüfung des Lohnsystems für Richterinnen und Richter","Gesamtabstimmung",4901,148,148,1,"Ja",41,21,26,32,13,41,21,26,32,13,1,1,1,1,1
"21",10472,6732,"Richterverordnung. Überprüfung des Lohnsystems für Richterinnen und Richter","Gesamtabstimmung",4901,151,151,1,"Ja",44,22,26,33,12,44,22,26,33,12,1,1,1,1,1
"22",10497,6757,"Doppelbesteuerung. Ergänzung zu verschiedenen Abkommen","Gesamtabstimmung",4901,168,122,0.726190476190476,"Ja",0,23,26,40,15,45,23,26,40,15,0,1,1,1,1
"23",10498,6758,"Doppelbesteuerung. Ergänzung zu verschiedenen Abkommen","Gesamtabstimmung",4901,166,121,0.728915662650602,"Ja",0,23,26,40,15,44,23,26,40,15,0,1,1,1,1
"24",10499,6759,"Doppelbesteuerung. Ergänzung zu verschiedenen Abkommen","Gesamtabstimmung",4901,167,121,0.724550898203593,"Ja",0,23,26,40,15,45,23,26,40,15,0,1,1,1,1
"25",10500,6760,"Doppelbesteuerung. Ergänzung zu verschiedenen Abkommen","Gesamtabstimmung",4901,164,119,0.725609756097561,"Ja",0,22,26,38,15,44,22,26,40,15,0,1,1,0.95,1
"26",10501,6761,"Doppelbesteuerung. Ergänzung zu verschiedenen Abkommen","Gesamtabstimmung",4901,168,122,0.726190476190476,"Ja",0,23,26,40,15,45,23,26,40,15,0,1,1,1,1
"27",10502,6762,"Doppelbesteuerung. Ergänzung zu verschiedenen Abkommen","Gesamtabstimmung",4901,166,120,0.72289156626506,"Ja",0,23,26,40,13,45,23,26,40,13,0,1,1,1,1
"28",10503,6763,"Doppelbesteuerung. Ergänzung zu verschiedenen Abkommen","Gesamtabstimmung",4901,168,122,0.726190476190476,"Ja",0,24,25,40,15,45,24,25,40,15,0,1,1,1,1
"29",10504,6764,"Doppelbesteuerung. Ergänzung zu verschiedenen Abkommen","Gesamtabstimmung",4901,167,121,0.724550898203593,"Ja",0,24,26,39,15,45,24,26,39,15,0,1,1,1,1
"30",10505,6765,"Doppelbesteuerung. Ergänzung zu verschiedenen Abkommen","Gesamtabstimmung",4901,167,121,0.724550898203593,"Ja",0,24,25,40,15,45,24,25,40,15,0,1,1,1,1
"31",10544,6804,"Bundesgesetz über Massnahmen zur Wahrung der inneren Sicherheit. Änderung","Schlussabstimmung",4901,181,145,0.801104972375691,"Ja",51,29,29,15,0,53,29,29,44,14,0.962264150943396,1,1,0.340909090909091,0
"32",10545,6805,"Stärkung der Hausarztmedizin","Schlussabstimmung",4901,192,192,1,"Ja",53,29,31,44,14,55,29,31,44,14,0.963636363636364,1,1,1,1
"33",10546,6806,"OR. Aktien- und Rechnungslegungsrecht","Schlussabstimmung",4901,191,129,0.675392670157068,"Ja",0,21,29,44,14,55,30,30,44,14,0,0.7,0.966666666666667,1,1
"34",10547,6807,"Bauen ausserhalb der Bauzone","Schlussabstimmung",4901,174,121,0.695402298850575,"Ja",54,29,29,1,0,54,30,31,44,14,1,0.966666666666667,0.935483870967742,0.0227272727272727,0
"35",10548,6808,"Für ein gesundes Klima. Volksinitiative. CO2-Gesetz. Revision","Schlussabstimmung",4901,191,130,0.680628272251309,"Ja",4,17,31,44,14,55,29,31,44,14,0.0727272727272727,0.586206896551724,1,1,1
"36",10549,6809,"Keine Ausweitung der obligatorischen Auskunftspflicht bei statistischen Erhebungen des Bundes","Schlussabstimmung",4901,192,182,0.947916666666667,"Ja",55,30,31,44,1,55,30,31,44,15,1,1,1,1,0.0666666666666667
"37",10550,6810,"Für die Stärkung der Volksrechte in der Aussenpolitik (Staatsverträge vors Volk!). Volksinitiative","Schlussabstimmung",4901,195,139,0.712820512820513,"Ja",0,29,31,44,15,55,30,31,44,15,0,0.966666666666667,1,1,1
"38",10551,6811,"Übereinkommen über die Bekämpfung des Menschenhandels und Bundesgesetz über den ausserprozessualen Zeugenschutz","Schlussabstimmung",4901,188,156,0.829787234042553,"Ja",15,30,31,44,15,54,30,31,44,15,0.277777777777778,1,1,1,1
"39",10552,6812,"Keine unnötige Bürokratie im Bereich der Stromnetze","Schlussabstimmung",4901,193,193,1,"Ja",53,30,31,43,15,55,30,31,43,15,0.963636363636364,1,1,1,1
"40",10553,6813,"Energiegesetz. Änderung","Schlussabstimmung",4901,191,139,0.727748691099476,"Ja",0,28,31,44,15,55,30,31,44,15,0,0.933333333333333,1,1,1
"41",10554,6814,"Doppelbesteuerung. Ergänzung zu verschiedenen Abkommen","Schlussabstimmung",4901,189,139,0.735449735449735,"Ja",1,30,30,44,15,54,30,30,44,15,0.0185185185185185,1,1,1,1
"42",10555,6815,"Doppelbesteuerung. Ergänzung zu verschiedenen Abkommen","Schlussabstimmung",4901,191,141,0.738219895287958,"Ja",1,30,31,44,15,55,30,31,44,15,0.0181818181818182,1,1,1,1
"43",10556,6816,"Doppelbesteuerung. Ergänzung zu verschiedenen Abkommen","Schlussabstimmung",4901,190,139,0.731578947368421,"Ja",0,30,31,43,15,55,30,31,43,15,0,1,1,1,1
"44",10557,6817,"Doppelbesteuerung. Ergänzung zu verschiedenen Abkommen","Schlussabstimmung",4901,192,142,0.739583333333333,"Ja",1,30,31,44,15,55,30,31,44,15,0.0181818181818182,1,1,1,1
"45",10558,6818,"Doppelbesteuerung. Ergänzung zu verschiedenen Abkommen","Schlussabstimmung",4901,191,142,0.743455497382199,"Ja",1,30,31,44,15,54,30,31,44,15,0.0185185185185185,1,1,1,1
"46",10559,6819,"Doppelbesteuerung. Ergänzung zu verschiedenen Abkommen","Schlussabstimmung",4901,193,144,0.746113989637306,"Ja",4,30,31,43,15,54,30,31,43,15,0.0740740740740741,1,1,1,1
"47",10560,6820,"Doppelbesteuerung. Ergänzung zu verschiedenen Abkommen","Schlussabstimmung",4901,192,141,0.734375,"Ja",1,29,31,44,15,55,29,31,44,15,0.0181818181818182,1,1,1,1
"48",10561,6821,"Doppelbesteuerung. Ergänzung zu verschiedenen Abkommen","Schlussabstimmung",4901,193,144,0.746113989637306,"Ja",3,30,31,44,15,55,30,31,44,15,0.0545454545454545,1,1,1,1
"49",10562,6822,"Doppelbesteuerung. Ergänzung zu verschiedenen Abkommen","Schlussabstimmung",4901,194,144,0.742268041237113,"Ja",3,30,31,44,15,55,30,31,44,15,0.0545454545454545,1,1,1,1
"50",10563,6823,"Verbot der Gruppierung „Al-Qaïda“ und verwandter Organisationen","Schlussabstimmung",4901,192,192,1,"Ja",52,29,30,44,15,53,29,30,44,15,0.981132075471698,1,1,1,1
"51",10564,6824,"Uno-Feuerwaffenprotokoll. Umsetzung. Waffengesetz. Änderung","Schlussabstimmung",4901,192,140,0.729166666666667,"Ja",3,27,29,44,15,55,29,30,44,15,0.0545454545454545,0.931034482758621,0.966666666666667,1,1
"52",10565,6825,"Uno-Feuerwaffenprotokoll. Umsetzung. Waffengesetz. Änderung","Schlussabstimmung",4901,192,147,0.765625,"Ja",9,29,28,44,15,55,29,30,44,15,0.163636363636364,1,0.933333333333333,1,1
"53",10605,6865,"Bundesgesetz über die Verrechnungssteuer. Änderung (Belebung des schweizerischen Kapitalmarktes)","Gesamtabstimmung",4902,176,176,1,"Ja",52,25,27,40,14,52,25,28,42,14,1,1,0.964285714285714,0.952380952380952,1
"54",10624,6884,"Massnahmen gegen Zwangsheiraten. Bundesgesetz","Gesamtabstimmung",4902,179,128,0.715083798882682,"Ja",0,27,29,43,9,51,27,29,43,12,0,1,1,1,0.75
"55",10644,6904,"Aussenwirtschaftspolitik 2011. Bericht","Gesamtabstimmung",4902,172,172,1,"Ja",45,27,29,37,13,47,27,29,37,13,0.957446808510638,1,1,1,1
"56",10646,6906,"Aussenwirtschaftspolitik 2011. Bericht","Gesamtabstimmung",4902,177,132,0.745762711864407,"Ja",50,28,30,1,1,50,28,30,37,13,1,1,1,0.027027027027027,0.0769230769230769
"57",10649,6909,"Aussenwirtschaftspolitik 2011. Bericht","Gesamtabstimmung",4902,183,134,0.73224043715847,"Ja",51,29,31,0,1,52,29,31,41,13,0.980769230769231,1,1,0,0.0769230769230769
"58",10651,6911,"Aussenwirtschaftspolitik 2011. Bericht","Gesamtabstimmung",4902,185,134,0.724324324324324,"Ja",52,29,31,0,1,53,29,31,40,13,0.981132075471698,1,1,0,0.0769230769230769
"59",10652,6912,"Aussenwirtschaftspolitik 2011. Bericht","Gesamtabstimmung",4902,184,184,1,"Ja",50,29,31,40,13,53,29,31,40,13,0.943396226415094,1,1,1,1
"60",10653,6913,"Aussenwirtschaftspolitik 2011. Bericht","Gesamtabstimmung",4902,186,186,1,"Ja",53,29,30,40,13,53,29,30,40,13,1,1,1,1,1
"61",10654,6914,"Aussenwirtschaftspolitik 2011. Bericht","Gesamtabstimmung",4902,185,185,1,"Ja",53,29,29,40,12,53,29,29,40,12,1,1,1,1,1
"62",10677,6937,"Steueramtshilfegesetz","Gesamtabstimmung",4902,171,113,0.660818713450292,"Ja",0,25,25,43,2,50,25,26,43,11,0,1,0.961538461538462,1,0.181818181818182
"63",10682,6942,"Doppelbesteuerung. Ergänzung zu verschiedenen Abkommen","Gesamtabstimmung",4902,166,110,0.662650602409639,"Ja",0,26,24,34,9,51,28,27,42,14,0,0.928571428571429,0.888888888888889,0.80952380952381,0.642857142857143
"64",10683,6943,"Doppelbesteuerung. Abkommen mit Rumänien","Gesamtabstimmung",4902,108,95,0.87962962962963,"Ja",35,26,11,6,1,49,26,28,39,12,0.714285714285714,1,0.392857142857143,0.153846153846154,0.0833333333333333
"65",10684,6944,"Doppelbesteuerung. Abkommen mit Schweden","Gesamtabstimmung",4902,136,125,0.919117647058823,"Ja",5,26,28,39,12,50,26,28,39,12,0.1,1,1,1,1
"66",10685,6945,"Doppelbesteuerung. Abkommen mit Singapur","Gesamtabstimmung",4902,165,155,0.939393939393939,"Ja",36,26,28,37,12,48,26,28,38,12,0.75,1,1,0.973684210526316,1
"67",10686,6946,"Doppelbesteuerung. Abkommen mit Malta","Gesamtabstimmung",4902,168,157,0.93452380952381,"Ja",37,26,28,39,12,51,26,28,39,12,0.725490196078431,1,1,1,1
"68",10687,6947,"Doppelbesteuerung. Abkommen mit der Slowakei","Gesamtabstimmung",4902,112,103,0.919642857142857,"Ja",38,27,13,9,1,51,27,27,39,12,0.745098039215686,1,0.481481481481481,0.230769230769231,0.0833333333333333
"69",10688,6948,"Doppelbesteuerung. Abkommen mit der Republik Korea","Gesamtabstimmung",4902,140,131,0.935714285714286,"Ja",11,27,27,39,12,51,27,27,39,12,0.215686274509804,1,1,1,1
"70",10689,6949,"Doppelbesteuerung. Abkommen mit Spanien","Gesamtabstimmung",4902,142,131,0.922535211267606,"Ja",11,26,28,39,12,51,26,28,39,12,0.215686274509804,1,1,1,1
"71",10690,6950,"Doppelbesteuerung. Abkommen mit den Vereinigten Arabischen Emiraten","Gesamtabstimmung",4902,131,120,0.916030534351145,"Ja",15,27,28,24,11,51,27,28,38,11,0.294117647058824,1,1,0.631578947368421,1
"72",10691,6951,"Doppelbesteuerung. Abkommen mit Hongkong","Gesamtabstimmung",4902,170,160,0.941176470588235,"Ja",38,27,28,39,12,51,27,28,39,12,0.745098039215686,1,1,1,1
"73",10692,6952,"Doppelbesteuerung. Abkommen mit Russland","Gesamtabstimmung",4902,115,103,0.895652173913044,"Ja",9,27,27,14,11,51,27,28,36,12,0.176470588235294,1,0.964285714285714,0.388888888888889,0.916666666666667
"74",10713,6973,"Flexibilisierung der Waldflächenpolitik","Gesamtabstimmung",4902,163,163,1,"Ja",43,21,28,42,12,43,21,28,42,12,1,1,1,1,1
"75",10723,6983,"Übereinkommen über Streumunition. Kriegsmaterialgesetz. Änderung","Gesamtabstimmung",4902,172,146,0.848837209302326,"Ja",19,25,30,41,14,47,25,30,41,14,0.404255319148936,1,1,1,1
"76",10724,6984,"Übereinkommen über Streumunition. Kriegsmaterialgesetz. Änderung","Gesamtabstimmung",4902,170,146,0.858823529411765,"Ja",18,26,30,41,14,47,26,30,41,14,0.382978723404255,1,1,1,1
"77",10743,7003,"StGB, MStG und JStG. Unverjährbarkeit sexueller und pornografischer Straftaten an Kindern","Gesamtabstimmung",4902,176,176,1,"Ja",51,27,26,44,9,53,28,30,44,11,0.962264150943396,0.964285714285714,0.866666666666667,1,0.818181818181818
"78",10774,7034,"Betäubungsmittelgesetz. Revision","Gesamtabstimmung",4902,176,111,0.630681818181818,"Ja",2,13,18,44,14,50,25,28,44,14,0.04,0.52,0.642857142857143,1,1
"79",10778,7038,"Verfassungsbasis für eine umfassende Familienpolitik","Gesamtabstimmung",4902,179,111,0.620111731843575,"Ja",0,9,30,44,13,52,25,31,44,13,0,0.36,0.967741935483871,1,1
"80",10791,7051,"Epidemiengesetz. Revision","Gesamtabstimmung",4902,156,152,0.974358974358974,"Ja",38,21,26,40,11,43,21,27,40,13,0.883720930232558,1,0.962962962962963,1,0.846153846153846
"81",10798,7058,"IWF. Genehmigung der Quoten- und Gouvernanzreform","Gesamtabstimmung",4902,167,124,0.74251497005988,"Ja",14,27,28,39,2,50,27,29,40,13,0.28,1,0.96551724137931,0.975,0.153846153846154
"82",10805,7065,"Bundesgesetz zur Unterstützung von Dachverbänden der Weiterbildung","Gesamtabstimmung",4902,142,142,1,"Ja",38,21,22,37,10,38,21,22,37,10,1,1,1,1,1
"83",10809,7069,"Tierschutzgesetz. Änderung","Gesamtabstimmung",4902,173,173,1,"Ja",46,25,29,43,14,46,25,29,43,14,1,1,1,1,1
"84",10833,7093,"Forschungs- und Innovationsförderungsgesetz. Totalrevision","Gesamtabstimmung",4902,175,133,0.76,"Ja",1,27,29,42,13,48,28,29,42,13,0.0208333333333333,0.964285714285714,1,1,1
"85",10843,7103,"Bundesgesetz über Banken und Sparkassen (Sicherung der Einlagen). Änderung","Gesamtabstimmung",4902,171,170,0.994152046783626,"Ja",49,26,23,42,13,53,28,23,42,13,0.924528301886792,0.928571428571429,1,1,1
"86",10853,7113,"Staatsleitungsreform","Gesamtabstimmung",4902,164,108,0.658536585365854,"Ja",1,20,24,43,13,46,21,24,43,14,0.0217391304347826,0.952380952380952,1,1,0.928571428571429
"87",10877,7137,"Einsatz von Angehörigen der Armee zum Schutz der Schweizer Vertretung in Tripolis","Gesamtabstimmung",4902,174,155,0.890804597701149,"Ja",25,29,29,42,11,52,29,29,42,11,0.480769230769231,1,1,1,1
"88",10879,7139,"jugend + musik. Volksinitiative","Schlussabstimmung",4902,176,139,0.789772727272727,"Ja",15,28,29,36,12,52,28,29,37,12,0.288461538461538,1,1,0.972972972972973,1
"89",10896,7156,"Markenschutzgesetz. Änderung sowie Swissness-Vorlage","Gesamtabstimmung",4902,157,120,0.764331210191083,"Ja",12,21,25,43,14,46,24,28,43,14,0.260869565217391,0.875,0.892857142857143,1,1
"90",10899,7159,"Markenschutzgesetz. Änderung sowie Swissness-Vorlage","Gesamtabstimmung",4902,176,172,0.977272727272727,"Ja",46,24,28,43,12,50,24,28,43,12,0.92,1,1,1,1
"91",10904,7164,"Bahnreform 2","Schlussabstimmung",4902,195,195,1,"Ja",54,29,31,46,14,54,29,31,46,14,1,1,1,1,1
"92",10905,7165,"Mehr Schutz der Konsumentinnen und Konsumenten. Änderung von Artikel 210 OR","Schlussabstimmung",4902,190,130,0.684210526315789,"Ja",0,27,24,46,14,55,30,31,46,14,0,0.9,0.774193548387097,1,1
"93",10906,7166,"Für ein gesundes Klima. Volksinitiative. CO2-Gesetz. Revision","Schlussabstimmung",4902,195,122,0.625641025641026,"Ja",54,28,30,0,0,55,30,31,46,14,0.981818181818182,0.933333333333333,0.967741935483871,0,0
"94",10907,7167,"jugend + musik. Volksinitiative","Schlussabstimmung",4902,187,156,0.834224598930481,"Ja",26,25,27,45,13,54,30,31,46,13,0.481481481481481,0.833333333333333,0.870967741935484,0.978260869565217,1
"95",10908,7168,"Flexibilisierung der Waldflächenpolitik","Schlussabstimmung",4902,187,187,1,"Ja",55,30,31,44,7,55,30,31,44,14,1,1,1,1,0.5
"96",10909,7169,"Sicheres Wohnen im Alter. Volksinitiative","Schlussabstimmung",4902,196,119,0.607142857142857,"Ja",2,9,28,46,14,55,30,31,46,14,0.0363636363636364,0.3,0.903225806451613,1,1
"97",10910,7170,"Indirekter Gegenentwurf zur Volksinitiative ""gegen die Abzockerei""","Schlussabstimmung",4902,193,193,1,"Ja",54,29,31,45,13,54,30,31,45,13,1,0.966666666666667,1,1,1
"98",10911,7171,"Richterverordnung. Überprüfung des Lohnsystems für Richterinnen und Richter","Schlussabstimmung",4902,197,197,1,"Ja",55,30,31,46,14,55,30,31,46,14,1,1,1,1,1
"99",10912,7172,"Richterverordnung. Überprüfung des Lohnsystems für Richterinnen und Richter","Schlussabstimmung",4902,191,191,1,"Ja",55,30,30,42,14,55,30,30,42,14,1,1,1,1,1
"100",10913,7173,"Schutz vor Passivrauchen. Volksinitiative","Schlussabstimmung",4902,190,138,0.726315789473684,"Ja",54,30,27,3,3,54,30,30,45,14,1,1,0.9,0.0666666666666667,0.214285714285714
"101",10914,7174,"Doppelbesteuerung. Ergänzung zu verschiedenen Abkommen","Schlussabstimmung",4902,190,134,0.705263157894737,"Ja",0,29,29,44,12,53,30,30,46,14,0,0.966666666666667,0.966666666666667,0.956521739130435,0.857142857142857
"102",10915,7175,"Übereinkommen über Streumunition. Kriegsmaterialgesetz. Änderung","Schlussabstimmung",4902,183,152,0.830601092896175,"Ja",15,30,27,45,14,55,30,30,45,14,0.272727272727273,1,0.9,1,1
"103",10916,7176,"Übereinkommen über Streumunition. Kriegsmaterialgesetz. Änderung","Schlussabstimmung",4902,183,151,0.825136612021858,"Ja",15,30,28,45,13,55,30,31,46,14,0.272727272727273,1,0.903225806451613,0.978260869565217,0.928571428571429
"104",10917,7177,"Doppelbesteuerung. Abkommen mit Rumänien","Schlussabstimmung",4902,115,100,0.869565217391304,"Ja",39,30,8,0,3,55,30,31,46,14,0.709090909090909,1,0.258064516129032,0,0.214285714285714
"105",10918,7178,"Doppelbesteuerung. Abkommen mit Schweden","Schlussabstimmung",4902,172,160,0.930232558139535,"Ja",19,29,31,46,14,55,29,31,46,14,0.345454545454545,1,1,1,1
"106",10919,7179,"Doppelbesteuerung. Abkommen mit Singapur","Schlussabstimmung",4902,195,182,0.933333333333333,"Ja",41,29,31,46,14,55,29,31,46,14,0.745454545454545,1,1,1,1
"107",10920,7180,"Doppelbesteuerung. Abkommen mit Malta","Schlussabstimmung",4902,192,178,0.927083333333333,"Ja",37,29,31,46,14,55,29,31,46,14,0.672727272727273,1,1,1,1
"108",10921,7181,"Doppelbesteuerung. Abkommen mit der Slowakei","Schlussabstimmung",4902,115,102,0.88695652173913,"Ja",38,29,12,0,3,55,29,30,45,14,0.690909090909091,1,0.4,0,0.214285714285714
"109",10922,7182,"Doppelbesteuerung. Abkommen mit der Republik Korea","Schlussabstimmung",4902,131,115,0.877862595419847,"Ja",17,29,30,4,14,55,29,30,46,14,0.309090909090909,1,1,0.0869565217391304,1
"110",10923,7183,"Verkehr mit Tieren und Pflanzen geschützter Arten. Bundesgesetz","Schlussabstimmung",4902,197,197,1,"Ja",55,30,31,46,14,55,30,31,46,14,1,1,1,1,1
"111",10924,7184,"Tierseuchengesetz. Änderung","Schlussabstimmung",4902,193,192,0.994818652849741,"Ja",52,29,30,46,14,54,30,31,46,14,0.962962962962963,0.966666666666667,0.967741935483871,1,1
"112",10925,7185,"Freihandelsabkommen zwischen den EFTA-Staaten und Hong Kong. Genehmigung","Schlussabstimmung",4902,137,137,1,"Ja",55,30,29,0,3,55,30,31,45,14,1,1,0.935483870967742,0,0.214285714285714
"113",10926,7186,"Bundesgesetz zur Unterstützung von Dachverbänden der Weiterbildung","Schlussabstimmung",4902,195,195,1,"Ja",53,30,31,46,14,53,30,31,46,14,1,1,1,1,1
"114",11056,7316,"Liberalisierung der Öffnungszeiten von Tankstellenshops","Gesamtabstimmung",4903,178,105,0.589887640449438,"Ja",47,28,21,0,0,48,28,28,43,14,0.979166666666667,1,0.75,0,0
"115",11112,7372,"Personenfreizügigkeit. Flankierende Massnahmen. BG. Anpassung","Gesamtabstimmung",4904,169,130,0.769230769230769,"Ja",12,22,27,38,13,51,22,27,38,13,0.235294117647059,1,1,1,1
"116",11125,7385,"6. IV-Revision. Zweites Massnahmenpaket","Gesamtabstimmung",4904,171,135,0.789473684210526,"Ja",50,0,22,41,13,52,21,27,41,14,0.961538461538462,0,0.814814814814815,1,0.928571428571429
"117",11132,7392,"Staatsrechnung 2011","Gesamtabstimmung",4904,167,167,1,"Ja",44,23,26,42,13,44,23,26,42,13,1,1,1,1,1
"118",11133,7393,"Staatsrechnung 2011","Gesamtabstimmung",4904,174,174,1,"Ja",46,25,28,42,13,47,25,28,42,13,0.978723404255319,1,1,1,1
"119",11134,7394,"Staatsrechnung 2011","Gesamtabstimmung",4904,173,160,0.92485549132948,"Ja",33,25,28,41,13,47,25,28,42,13,0.702127659574468,1,1,0.976190476190476,1
"120",11135,7395,"Staatsrechnung 2011","Gesamtabstimmung",4904,174,174,1,"Ja",44,25,28,42,15,47,25,28,42,15,0.936170212765957,1,1,1,1
"121",11137,7397,"Staatsrechnung 2011","Gesamtabstimmung",4904,175,175,1,"Ja",46,25,28,42,15,47,25,28,42,15,0.978723404255319,1,1,1,1
"122",11139,7399,"Voranschlag 2012. Nachtrag I","Gesamtabstimmung",4904,172,172,1,"Ja",43,25,28,41,15,48,25,28,41,15,0.895833333333333,1,1,1,1
"123",11140,7400,"Voranschlag 2012. Nachtrag I","Gesamtabstimmung",4904,174,174,1,"Ja",44,25,28,42,15,47,25,28,42,15,0.936170212765957,1,1,1,1
"124",11141,7401,"Vereinfachungen bei der Besteuerung von Lotteriegewinnen","Gesamtabstimmung",4904,160,160,1,"Ja",38,23,24,40,14,38,23,24,40,14,1,1,1,1,1
"125",11146,7406,"Zusammenarbeit im Steuer- und Finanzmarktbereich. Abkommen mit Deutschland, Abkommen mit dem Vereinigten Königreich sowie internationale Quellenbesteuerung. Bundesgesetz","Gesamtabstimmung",4904,189,108,0.571428571428571,"Ja",1,25,30,17,15,53,26,31,45,15,0.0188679245283019,0.961538461538462,0.967741935483871,0.377777777777778,1
"126",11147,7407,"Zusammenarbeit im Steuer- und Finanzmarktbereich. Abkommen mit Deutschland, Abkommen mit dem Vereinigten Königreich sowie internationale Quellenbesteuerung. Bundesgesetz","Gesamtabstimmung",4904,190,109,0.573684210526316,"Ja",1,26,30,18,14,53,26,31,45,15,0.0188679245283019,1,0.967741935483871,0.4,0.933333333333333
"127",11153,7413,"Zusammenarbeit im Steuer- und Finanzmarktbereich. Abkommen mit Deutschland, Abkommen mit dem Vereinigten Königreich sowie internationale Quellenbesteuerung. Bundesgesetz","Gesamtabstimmung",4904,174,85,0.488505747126437,"Nein",1,24,30,0,12,47,24,31,44,14,0.0212765957446809,1,0.967741935483871,0,0.857142857142857
"128",11155,7415,"Zusammenarbeit im Steuer- und Finanzmarktbereich. Abkommen mit Österreich","Gesamtabstimmung",4904,189,138,0.73015873015873,"Ja",32,26,31,14,15,53,26,31,45,15,0.60377358490566,1,1,0.311111111111111,1
"129",11177,7437,"Bundesbeschluss über das Nationalstrassennetz. Anpassung","Gesamtabstimmung",4904,182,179,0.983516483516483,"Ja",46,27,27,43,15,49,27,27,43,15,0.938775510204082,1,1,1,1
